ID,Приоритет теста,Модуль,Название,Предусловия,Тестовые данные,Шаги,Ожидаемый результат,Статус прохождения тест-кейса
Функциональные проверки,,,,,,,,
TK-1,High,Форма авторизации,"Успешная авторизация с валидными данными с помощью кнопки ""Sign in"" ","1. Пользователь существует в системе
2. Открыта страница формы авторизации","1. “Логин”: quse444
2. “Пароль"": rutigbWEQ4786",1. Ввести значение из тестовых данных в поле  “Логин”,"1. В поле ""Логин"" отображено введённое значение",PASSED
,,,,,,2. Ввести значение из тестовых данных в поле  “Пароль”,"2. В поле ""Пароль"" отображено введённое значение",
,,,,,,"3. Нажать кнопку ""Sign in""",3. Пользователь авторизован в системе,
,,,,,,,,
TK-2,High,Форма авторизации,"Успешная авторизация с валидными данными с помощью кнопки ""Enter""","1. Пользователь существует в системе
2. Открыта страница формы авторизации","1. “Логин”: dastYk
2. “Пароль"": POunf65487D",1. Ввести значение из тестовых данных в поле  “Логин”,"1. В поле ""Логин"" отображено введённое значение",PASSED
,,,,,,2. Ввести значение из тестовых данных в поле  “Пароль”,"2. В поле ""Пароль"" отображено введённое значение",
,,,,,,"3. Нажать кнопку ""Enter""",3. Пользователь авторизован в системе,
,,,,,,,,
TK-3,High,Форма авторизации,"Успешная авторизация с автозаполнением полей ""Логин"" и ""Пароль"" ","1. Пользователь существует в системе
2. Открыта страница формы авторизации ","1. “Логин”: quse444
2. “Пароль"": rutigbWEQ4786",1. Ввести значение из тестовых данных в поле  “Логин”,"1. В поле ""Логин"" отображено введённое значение",PASSED
,,,,,,2. Ввести значение из тестовых данных в поле  “Пароль”,"2. В поле ""Пароль"" отображено введённое значение",
,,,,,,"3. Сделать активным чек-бокс ""Запомнить меня""",3. Галочка проставлена в окне чек-бокса,
,,,,,,"4. Нажать кнопку ""Sign in""",4. Пользователь авторизован в системе,
,,,,,,5. Выйти из системы,5. Пользователь вышел из системы,
,,,,,,6. Повторно зайти на страницу авторизации,"6. Открыта форма авторизации, поля ""Логин"" и ""Пароль"" заполнены автоматически",
,,,,,,"7. Нажать кнопку ""Sign in""",7. Пользователь авторизован в системе,
,,,,,,,,
TK-4,High,Форма авторизации,Возможность востановления пароля при авторизации,1. Пользователь существует в системе 2. Открыта страница формы авторизации,"1. “Логин”: Fanny
2. ""Пароль"": tyrgnfd7895mWER",1. Ввести значение из тестовых данных в поле  “Логин”,"1. В поле ""Логин"" отображено введённое значение",PASSED
,,,,,,"2. Оставить поле  “Пароль"" пустым","2. В поле ""Пароль"" ничего не отображено",
,,,,,,"3. Нажать на ссылку ""Я забыл пароль""","3. Открыто модальное окно с кнопкой ""Восстановить пароль"" ",
,,,,,,"4. В открывшемся модальном окне нажать кнопку ""Восстановить пароль""",4. На связанный с аккаунтом e-mail пришло сообщение с данными для восстановления пароля,
,,,,,,,,
TK-5,High,Форма авторизации,Успешная авторизация с восстановленным ранее паролем,1. Пользователь существует в системе 2. Открыта страница формы авторизации,"1. “Логин”: Fanny
2. “Пароль"": ytur5768REE",1. Ввести значение из тестовых данных в поле  “Логин”,"1. В поле ""Логин"" отображено введённое значение",PASSED
,,,,,,2. Ввести значение из тестовых данных в поле  “Пароль”,"2. В поле ""Пароль"" отображено введённое значение",
,,,,,,"3. Нажать кнопку ""Sign in""",3. Пользователь авторизован в системе,
,,,,,,,,
TK-6,High,Форма авторизации,Неуспешная авторизация со старым паролем после его восстановления,"1. Пользователь существует в системе и ранее восстановил пароль
2. Открыта страница формы авторизации","1. “Логин”: Fanny
2. ""Пароль"": tyrgnfd7895mWER",1. Ввести значение из тестовых данных в поле  “Логин”,"1. В поле ""Логин"" отображено введённое значение",FAILED
,,,,,,2. Ввести значение из тестовых данных в поле  “Пароль”,"2. В поле ""Пароль"" отображено введённое значение",
,,,,,,"3. Нажать кнопку ""Sign in""",3. Пользователь не авторизован в системе,
,,,,,,,,
TK-7,High,Форма авторизации,Неуспешная авторизация ранее удалённого пользователя с валидными данными,"1. Пользователь удалён из системы
2. Открыта страница формы авторизации","1. “Логин”: Pokemon
2. “Пароль"": gjfuyi687DS",1. Ввести значение из тестовых данных в поле  “Логин”,"1. В поле ""Логин"" отображено введённое значение",FAILED
,,,,,,2. Ввести значение из тестовых данных в поле  “Пароль”,"2. В поле ""Пароль"" отображено введённое значение",
,,,,,,"3. Нажать кнопку ""Sign in""",3. Пользователь не авторизован в системе,
,,,,,,,,
TK-8,High,Форма авторизации,Неуспешная авторизация несуществующего пользователя,"1. Пользователь не существует в системе
2. Открыта страница формы авторизации","1. “Логин”: Orfei
2. “Пароль"": 68795Rtuyig",1. Ввести значение из тестовых данных в поле  “Логин”,"1. В поле ""Логин"" отображено введённое значение",PASSED
,,,,,,2. Ввести значение из тестовых данных в поле  “Пароль”,"2. В поле ""Пароль"" отображено введённое значение",
,,,,,,"3. Нажать кнопку ""Sign in""",3. Пользователь не авторизован в системе,
,,,,,,,,
TK-9,High,Форма авторизации,"Неуспешная авторизация с невалидными данными в поле ""Логин""",1. Открыта страница формы авторизации,"1. “Пароль"": 38475ouptmv",1. Ввести одно из значений из тестовых данных в поле  “Логин” ,"1. В поле ""Логин"" отображено введённое значение",PASSED
,,,,,,2. Ввести значение из тестовых данных в поле  “Пароль”,"2. В поле ""Пароль"" отображено введённое значение",
,,,,,,"3. Нажать кнопку ""Sign in""",3. Пользователь не авторизован в системе,
,,,,,,,,
TK-10,High,Форма авторизации,"Неуспешная авторизация с невалидными данными в поле ""Пароль""",1. Открыта страница формы авторизации,1. “Логин”: Denny,1. Ввести значение из тестовых данных в поле  “Логин”,"1. В поле ""Логин"" отображено введённое значение",PASSED
,,,,,,2. Ввести одно из значений из тестовых данных в поле  “Пароль”,"2. В поле ""Пароль"" отображено введённое значение",
,,,,,,"3. Нажать кнопку ""Sign in""",3. Пользователь не авторизован в системе,
,,,,,,,,
Нефункциональные проверки,,,,,,,,
TK-11,High,Форма авторизации,Отображение пароля в замаскированном виде при вводе в соответствующее поле формы,1. Пользователь существует в системе 2. Открыта страница формы авторизации,"1. “Пароль"": rutigbWEQ4786",1. Ввести значение из тестовых данных в поле  “Пароль”,"1. В поле ""Пароль"" отображено введённое значение в замаскированном виде",PASSED
,,,,,,,,
